,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,commit_count,cve_count
130,jhipster,generator-jhipster,0.007436497397,0.3333333333,0.5,1.0,1.0,1.0,56186,3
131,psf,requests,0.1034722222,1.0,1.0,1.0,1.0,1.0,18258,4
132,orientechnologies,orientdb,1.0,1.0,1.0,1.0,1.0,1.0,26035,1
133,gravitl,netmaker,0.0053017713,0.25,0.25,1.0,1.0,1.0,6645,4
134,openstack,manila,0.01851851852,1.0,1.0,1.0,1.0,1.0,6525,1
135,ratpack,ratpack,0.05928853755,1.0,1.0,1.0,1.0,1.0,6464,3
136,Ericsson,codechecker,0.00570360741,0.0,1.0,1.0,1.0,1.0,6460,2
137,cloudfoundry,uaa,0.003474991811,0.03571428571,0.4047619048,0.7857142857,1.0,1.0,11405,14
138,KubeOperator,KubeOperator,0.3333333333,1.0,1.0,1.0,1.0,1.0,6432,1
139,woodpecker-ci,woodpecker,0.04821428571,1.0,1.0,1.0,1.0,1.0,6418,2
140,kiali,kiali,0.0,0.0,0.0,0.0,0.0,0.0,6415,2
141,goreleaser,goreleaser,0.05882352941,1.0,1.0,1.0,1.0,1.0,6410,1
142,django-cms,django-cms,0.5055555556,1.0,1.0,1.0,1.0,1.0,16220,2
143,eclipse,vert.x,0.004566210046,0.0,1.0,1.0,1.0,1.0,6407,1
144,theupdateframework,tuf,0.0009496676163,0.0,0.0,0.0,1.0,1.0,6378,1
145,openstack,neutron,0.474695586,0.7142857143,0.8571428571,0.8571428571,0.9285714286,1.0,48196,7
146,openshift,origin,0.002165163081,0.0,0.5,0.5,1.0,1.0,32412,2
147,openstack,tripleo-heat-templates,0.5005370569,0.5,0.5,1.0,1.0,1.0,15843,2
148,theupdateframework,python-tuf,0.08187134503,1.0,1.0,1.0,1.0,1.0,6378,2
149,significant-gravitas,autogpt,0.008333333333,0.0,1.0,1.0,1.0,1.0,6372,1
150,kubernetes,kubernetes,0.02852691863,0.1538461538,0.3076923077,0.5384615385,0.5384615385,0.6923076923,100000,13
151,Netflix,lemur,0.04033419764,0.5,1.0,1.0,1.0,1.0,22112,2
152,jooby-project,jooby,0.004608294931,0.0,1.0,1.0,1.0,1.0,6358,1
153,pretalx,pretalx,0.6666666667,1.0,1.0,1.0,1.0,1.0,6354,2
154,apache,myfaces,0.01437568456,0.5,1.0,1.0,1.0,1.0,6333,2
155,giampaolo,psutil,1.0,1.0,1.0,1.0,1.0,1.0,6146,1
156,apache,lucene,0.0,0.0,0.0,0.0,0.0,0.0,19041,1
157,nicolargo,glances,0.003289473684,0.0,0.6666666667,1.0,1.0,1.0,6140,1
158,endojs,endo,0.01075268817,1.0,1.0,1.0,1.0,1.0,6136,1
159,snapcore,snapcraft,0.06666666667,1.0,1.0,1.0,1.0,1.0,6130,1
160,element-plus,element-plus,0.004016064257,0.0,1.0,1.0,1.0,1.0,6104,1
161,unclebob,fitnesse,0.06666666667,1.0,1.0,1.0,1.0,1.0,6098,1
162,containers,buildah,0.5,1.0,1.0,1.0,1.0,1.0,6060,3
163,apache,drill,0.25,1.0,1.0,1.0,1.0,1.0,6027,1
164,sqlfluff,sqlfluff,1.0,1.0,1.0,1.0,1.0,1.0,6027,1
165,expressjs,express,0.256097561,1.0,1.0,1.0,1.0,1.0,6019,2
166,apache,calcite,1.0,1.0,1.0,1.0,1.0,1.0,6017,1
167,apostrophecms,sanitize-html,0.103642137,1.0,1.0,1.0,1.0,1.0,684,5
168,IdentityPython,pysaml2,0.2125448909,0.8333333333,1.0,1.0,1.0,1.0,3605,6
169,gevent,gevent,0.08333333333,1.0,1.0,1.0,1.0,1.0,6014,1
170,pallets,werkzeug,0.3000514722,1.0,1.0,1.0,1.0,1.0,5725,7
171,vendure-ecommerce,vendure,0.03703703704,1.0,1.0,1.0,1.0,1.0,5998,1
172,dask,distributed,0.2,1.0,1.0,1.0,1.0,1.0,5979,1
173,eclipse,xtext-xtend,0.5,1.0,1.0,1.0,1.0,1.0,5967,1
174,run-llama,llama_index,0.2607431046,0.375,0.625,0.875,1.0,1.0,5961,4
175,arrow-kt,arrow,0.00462962963,0.0,1.0,1.0,1.0,1.0,5948,1
176,ydb-platform,ydb-go-sdk,0.03703703704,1.0,1.0,1.0,1.0,1.0,5866,1
177,sequelize,sequelize,0.5322227626,0.75,1.0,1.0,1.0,1.0,11321,4
178,zauberzeug,nicegui,0.05555555556,1.0,1.0,1.0,1.0,1.0,5852,1
179,rollup,rollup,0.1111111111,1.0,1.0,1.0,1.0,1.0,5848,1
180,ktorio,ktor,0.02832167832,1.0,1.0,1.0,1.0,1.0,5829,2
181,apache,tapestry-5,0.3333333333,1.0,1.0,1.0,1.0,1.0,5828,1
182,Kozea,WeasyPrint,0.25,1.0,1.0,1.0,1.0,1.0,5820,1
183,apache,directory-studio,1.0,1.0,1.0,1.0,1.0,1.0,5818,1
184,rudderlabs,rudder-server,0.001016260163,0.0,0.0,0.3333333333,1.0,1.0,5807,1
185,apollographql,router,0.01176470588,1.0,1.0,1.0,1.0,1.0,5801,1
186,hapijs,hapi,0.004293901183,0.0,0.5,0.5,1.0,1.0,5774,2
187,pac4j,pac4j,0.05882352941,0.5,1.0,1.0,1.0,1.0,5764,1
188,jenkinsci,hpe-application-automation-tools-plugin,0.014552138,1.0,1.0,1.0,1.0,1.0,5749,4
189,reactor,reactor-netty,0.002792535607,0.0,1.0,1.0,1.0,1.0,5696,2
190,apache,commons-compress,0.696969697,1.0,1.0,1.0,1.0,1.0,5691,3
191,libp2p,go-libp2p,0.01369863014,1.0,1.0,1.0,1.0,1.0,5647,1
192,eclipse-ee4j,glassfish,0.001124829276,0.0,0.0,0.5,0.5,1.0,5618,2
193,openstack,magnum,0.1428571429,1.0,1.0,1.0,1.0,1.0,5608,1
194,fluxcd,source-controller,0.01176470588,1.0,1.0,1.0,1.0,1.0,5588,1
195,classgraph,classgraph,0.000599880024,0.0,0.0,0.0,1.0,1.0,5586,1
196,volcano-sh,volcano,0.003378378378,0.0,1.0,1.0,1.0,1.0,5580,1
197,gentoo,portage,0.2,1.0,1.0,1.0,1.0,1.0,17810,1
198,containers,image,0.3546708301,1.0,1.0,1.0,1.0,1.0,5559,3
199,projectdiscovery,nuclei,0.03214285714,1.0,1.0,1.0,1.0,1.0,5555,2
200,hoppscotch,hoppscotch,0.3333333333,1.0,1.0,1.0,1.0,1.0,5551,1
201,opencontainers,runc,0.4619047619,1.0,1.0,1.0,1.0,1.0,4490,5
202,webauthn4j,webauthn4j-spring-security,0.125,1.0,1.0,1.0,1.0,1.0,5548,1
203,locustio,locust,0.01020408163,0.5,1.0,1.0,1.0,1.0,5545,1
204,openstack,ironic,0.01886792453,1.0,1.0,1.0,1.0,1.0,13501,1
205,undertow-io,undertow,0.1896196243,0.6923076923,0.9230769231,1.0,1.0,1.0,5887,13
206,tiangolo,fastapi,0.04,1.0,1.0,1.0,1.0,1.0,5540,1
207,mage-ai,mage-ai,0.005319148936,0.0,1.0,1.0,1.0,1.0,5536,1
208,cometd,cometd,0.01612903226,1.0,1.0,1.0,1.0,1.0,5534,1
209,ioBroker,ioBroker.js-controller,0.0008888888889,0.0,0.0,0.0,1.0,1.0,5512,1
210,apache,xerces2-j,0.05952380952,1.0,1.0,1.0,1.0,1.0,5510,2
211,dapr,dapr,1.0,1.0,1.0,1.0,1.0,1.0,5505,1
212,aws,aws-sdk-go,0.001672240803,0.0,0.0,1.0,1.0,1.0,5492,1
213,lessthanoptimal,BoofCV,0.02380952381,1.0,1.0,1.0,1.0,1.0,5446,1
214,vanessa219,vditor,0.07925456294,0.75,1.0,1.0,1.0,1.0,5444,4
215,amir20,dozzle,0.5,1.0,1.0,1.0,1.0,1.0,5437,1
216,couchbase,sync_gateway,0.05882352941,1.0,1.0,1.0,1.0,1.0,5423,1
217,pyca,cryptography,0.4626623377,1.0,1.0,1.0,1.0,1.0,13176,5
218,moinwiki,moin,1.0,1.0,1.0,1.0,1.0,1.0,5418,1
219,pallets,flask,0.01414046979,0.25,1.0,1.0,1.0,1.0,5391,2
220,apache,openjpa,0.01075268817,1.0,1.0,1.0,1.0,1.0,5375,1
221,onionshare,onionshare,0.05,1.0,1.0,1.0,1.0,1.0,5373,1
222,oblac,jodd,0.02857142857,1.0,1.0,1.0,1.0,1.0,5365,1
223,simonw,datasette,1.0,1.0,1.0,1.0,1.0,1.0,5358,1
224,josdejong,mathjs,0.7777777778,1.0,1.0,1.0,1.0,1.0,5331,3
225,opencast,opencast,0.4584803223,0.6428571429,0.7857142857,0.7857142857,0.7857142857,0.9285714286,21329,14
226,tauri-apps,tauri,0.3333333333,1.0,1.0,1.0,1.0,1.0,5309,1
227,firebase,firebase-tools,0.005882352941,0.0,1.0,1.0,1.0,1.0,5294,1
228,langchain-ai,langchainjs,0.1671212121,0.5,0.5,0.5,1.0,1.0,5290,2
229,siderolabs,talos,1.0,1.0,1.0,1.0,1.0,1.0,5267,1
230,tabatkins,bikeshed,0.09226190476,1.0,1.0,1.0,1.0,1.0,5233,2
231,openstack,aodh,0.3333333333,1.0,1.0,1.0,1.0,1.0,5194,1
232,alibaba,nacos,0.04347826087,1.0,1.0,1.0,1.0,1.0,5165,1
233,hivesolutions,netius,0.06666666667,1.0,1.0,1.0,1.0,1.0,5142,1
234,zopefoundation,ZODB,0.002044989775,0.0,1.0,1.0,1.0,1.0,5001,1
235,dojo,dojox,0.0,0.0,0.0,0.0,0.0,0.0,5000,2
236,apache,incubator-answer,0.058356676,0.6666666667,1.0,1.0,1.0,1.0,4977,3
237,apache,ranger,0.03225806452,1.0,1.0,1.0,1.0,1.0,4966,1
238,browserless,chrome,0.005494505495,0.0,1.0,1.0,1.0,1.0,4960,1
239,grpc,grpc-node,0.25,1.0,1.0,1.0,1.0,1.0,4958,1
240,distribution,distribution,0.1282894737,0.5,1.0,1.0,1.0,1.0,10774,2
241,elastic,beats,0.002564102564,0.0,1.0,1.0,1.0,1.0,18387,1
242,TanStack,query,0.05882352941,1.0,1.0,1.0,1.0,1.0,4955,1
243,sosreport,sos,0.03455964326,1.0,1.0,1.0,1.0,1.0,4933,2
244,electron,electron,0.002002869914,0.0,0.25,0.75,1.0,1.0,24808,4
245,opennetworkinglab,onos,0.001097694841,0.0,0.0,1.0,1.0,1.0,10950,1
246,openstack,trove,0.004901960784,0.0,1.0,1.0,1.0,1.0,4929,1
247,infinispan,infinispan,0.2267521368,0.4,0.7,1.0,1.0,1.0,17340,5
248,FasterXML,jackson-databind,0.3124190268,0.7636363636,0.8754329004,0.969047619,0.9893939394,1.0,8160,66
249,webmproject,libwebp,0.3333333333,1.0,1.0,1.0,1.0,1.0,4920,1
250,nonebot,nonebot2,0.04166666667,1.0,1.0,1.0,1.0,1.0,4910,1
251,projectcontour,contour,0.01234567901,1.0,1.0,1.0,1.0,1.0,4909,1
252,apache,nifi,0.1792203997,0.7941176471,0.9411764706,1.0,1.0,1.0,10521,17
253,apache,airflow,0.1483183562,0.61,0.81,0.85,0.92,0.98,28169,50
254,wasm3,wasm3,0.515625,1.0,1.0,1.0,1.0,1.0,4908,2
255,BishopFox,sliver,0.2515822785,0.3333333333,1.0,1.0,1.0,1.0,4863,2
256,graphql-java,graphql-java,0.1428571429,1.0,1.0,1.0,1.0,1.0,4827,1
257,tornadoweb,tornado,0.1782945736,1.0,1.0,1.0,1.0,1.0,4806,2
258,codenotary,immudb,0.6,1.0,1.0,1.0,1.0,1.0,4794,2
259,jelmer,dulwich,0.35,1.0,1.0,1.0,1.0,1.0,4767,2
260,apache,helix,0.1666666667,1.0,1.0,1.0,1.0,1.0,4746,1
261,Adobe-Consulting-Services,acs-aem-commons,0.5090909091,1.0,1.0,1.0,1.0,1.0,4737,2
262,weaveworks,weave-gitops,0.004184100418,0.0,1.0,1.0,1.0,1.0,4735,1
263,kubernetes,client-go,0.5119047619,1.0,1.0,1.0,1.0,1.0,4712,2
264,hibernate,hibernate-validator,0.04653679654,0.5625,1.0,1.0,1.0,1.0,4697,2
265,http4s,blaze,0.05263157895,1.0,1.0,1.0,1.0,1.0,4675,1
