,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,recall10000,commit_count,cve_count,Unnamed: 11
127,knik0,faad2,0.6676470588,0.6666666667,1.0,1.0,1.0,1.0,1.0,866.0,3,1.3
128,OSGeo,gdal,0.444754522,0.6666666667,0.6666666667,0.6666666667,1.0,1.0,1.0,83577.0,3,0.8454545455
129,pcmacdon,jsish,1.0,1.0,1.0,1.0,1.0,1.0,1.0,239.0,3,0.4960784314
131,adrienverge,openfortivpn,0.2555555556,1.0,1.0,1.0,1.0,1.0,1.0,766.0,3,0.65
132,zhaozg,lua-openssl,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,1228.0,3,0.2853018373
133,michaelrsweet,htmldoc,0.4534534535,1.0,1.0,1.0,1.0,1.0,1.0,1066.0,3,0.8625
134,FreeRTOS,FreeRTOS-Kernel,0.3614942529,1.0,1.0,1.0,1.0,1.0,1.0,3433.0,3,0.2302054155
135,leesavide,abcm2ps,0.03131313131,1.0,1.0,1.0,1.0,1.0,1.0,329.0,3,0.8217391304
136,babelouest,glewlwyd,0.6722222222,1.0,1.0,1.0,1.0,1.0,1.0,3913.0,3,0.5
137,minetest,minetest,0.1683993361,0.3333333333,0.6666666667,1.0,1.0,1.0,1.0,12176.0,3,0.9
138,yoe,nbd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1482.0,2,0.8555555556
139,jabberd2,jabberd2,0.1904761905,1.0,1.0,1.0,1.0,1.0,1.0,1023.0,2,0.1023904305
142,mapserver,mapserver,0.2166666667,1.0,1.0,1.0,1.0,1.0,1.0,12571.0,2,0.4764705882
143,paulusmack,ppp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2204.0,2,1.3
144,mongodb,mongo,0.1016233766,0.5,1.0,1.0,1.0,1.0,1.0,83652.0,2,0.4388888889
146,rawstudio,rawstudio,0.6666666667,1.0,1.0,1.0,1.0,1.0,1.0,4329.0,2,1.3
147,bittorrent,bootstrap-dht,0.5833333333,1.0,1.0,1.0,1.0,1.0,1.0,105.0,2,0.5166666667
148,libguestfs,hivex,0.5166666667,1.0,1.0,1.0,1.0,1.0,1.0,558.0,2,0.1013766215
149,sddm,sddm,0.6666666667,1.0,1.0,1.0,1.0,1.0,1.0,1387.0,2,1.3
150,lxc,lxcfs,0.5294117647,1.0,1.0,1.0,1.0,1.0,1.0,872.0,2,0.9
151,weidai11,cryptopp,0.0977443609,1.0,1.0,1.0,1.0,1.0,1.0,6261.0,2,0.9666666667
152,pgbouncer,pgbouncer,0.5625,1.0,1.0,1.0,1.0,1.0,1.0,1310.0,2,0.4428571429
154,abrt,abrt,0.5135135135,1.0,1.0,1.0,1.0,1.0,1.0,6874.0,2,0.8384615385
155,googlei18n,sfntly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184.0,2,0.5380952381
156,vincentbernat,lldpd,0.5454545455,1.0,1.0,1.0,1.0,1.0,1.0,2270.0,2,0.2699978085
157,dosfstools,dosfstools,0.1960784314,1.0,1.0,1.0,1.0,1.0,1.0,512.0,2,0.9666666667
159,libvirt,libvirt,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21971.0,2,0.9
161,kravietz,pam_tacplus,0.5625,1.0,1.0,1.0,1.0,1.0,1.0,494.0,2,0.8714285714
163,collectd,collectd,0.5217391304,1.0,1.0,1.0,1.0,1.0,1.0,9709.0,2,0.2602755542
164,Mindwerks,wildmidi,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1241.0,2,0.3641762452
165,ImageMagick,librsvg,0.6,1.0,1.0,1.0,1.0,1.0,1.0,45.0,2,1.3
166,akrennmair,newsbeuter,0.5555555556,1.0,1.0,1.0,1.0,1.0,1.0,1996.0,2,0.4202898551
168,ceph,ceph,0.02795248078,1.0,1.0,1.0,1.0,1.0,1.0,100000.0,2,0.3394117647
170,netblue30,firejail,0.1764705882,1.0,1.0,1.0,1.0,1.0,1.0,8628.0,2,0.3514619883
171,projectatomic,bubblewrap,1.0,1.0,1.0,1.0,1.0,1.0,1.0,548.0,2,0.1026202031
172,ntop,ntopng,0.1388888889,1.0,1.0,1.0,1.0,1.0,1.0,20283.0,2,0.2038790294
173,qbittorrent,qBittorrent,0.07711038961,1.0,1.0,1.0,1.0,1.0,1.0,10106.0,2,0.5666666667
174,LibRaw,LibRaw-demosaic-pack-GPL2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,2,0.2024980041
175,dropbox,lepton,0.2166666667,1.0,1.0,1.0,1.0,1.0,1.0,938.0,2,0.4047619048
177,OpenMPT,openmpt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16039.0,2,0.8454545455
178,acassen,keepalived,0.6,1.0,1.0,1.0,1.0,1.0,1.0,4844.0,2,0.8074626866
179,lighttpd,lighttpd1.4,0.6666666667,1.0,1.0,1.0,1.0,1.0,1.0,5382.0,2,0.2651837524
180,hfp,libxsmm,0.1428571429,1.0,1.0,1.0,1.0,1.0,1.0,16426.0,2,1.3
181,winscp,winscp,0.05964912281,1.0,1.0,1.0,1.0,1.0,1.0,7510.0,2,0.4203703704
182,sleuthkit,sleuthkit,0.5384615385,1.0,1.0,1.0,1.0,1.0,1.0,7941.0,2,0.4068493151
183,domoticz,domoticz,0.2380952381,1.0,1.0,1.0,1.0,1.0,1.0,8755.0,2,0.3307548928
185,Yubico,pam-u2f,0.6666666667,1.0,1.0,1.0,1.0,1.0,1.0,551.0,2,0.3513157895
186,enferex,pdfresurrect,0.5833333333,1.0,1.0,1.0,1.0,1.0,1.0,181.0,2,0.101025641
187,slicer69,doas,0.6,1.0,1.0,1.0,1.0,1.0,1.0,149.0,2,0.101001001
189,fribidi,fribidi,0.5714285714,1.0,1.0,1.0,1.0,1.0,1.0,384.0,2,0.6333333333
190,python,typed_ast,0.0358974359,1.0,1.0,1.0,1.0,1.0,1.0,203.0,2,0.3769230769
193,milkytracker,MilkyTracker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,852.0,2,0.3285714286
194,troglobit,uftpd,0.1702898551,0.5,1.0,1.0,1.0,1.0,1.0,552.0,2,0.3166666667
195,yhirose,cpp-peglib,0.3055555556,1.0,1.0,1.0,1.0,1.0,1.0,715.0,2,1.3
196,openzfs,zfs,0.03941176471,1.0,1.0,1.0,1.0,1.0,1.0,8650.0,2,0.2095238095
197,sparklemotion,nokogiri,0.1020080321,0.5,1.0,1.0,1.0,1.0,1.0,6518.0,2,0.8
198,fluent,fluent-bit,0.1014619883,0.5,1.0,1.0,1.0,1.0,1.0,10410.0,2,0.4666666667
