,owner,repo,avg_patch_token_count
490,ben-sb,javascript-deobfuscator,3010.0
338,apache,directory-studio,3010.0
2446,wolfi-dev,wolfictl,3008.0
2105,rosen-vladimirov,global-modules-path,3005.0
2459,xjodoin,torpedoquery,2999.0
2366,unclechu,node-deep-extend,2995.0
69,FreeOpcUa,opcua-asyncio,2986.25
872,florianholzapfel,express-restify-mongoose,2979.0
2324,togglz,togglz,2979.0
1405,jenkinsci,testcomplete-plugin,2977.2
1363,jenkinsci,redhat-dependency-analytics-plugin,2970.0
947,golang,crypto,2961.0
481,ballcat-projects,ballcat-codegen,2957.0
196,Sdju,js-ini,2950.0
742,dvsekhvalnov,jose2go,2946.0
979,grafana,grafana-plugin-sdk-go,2940.0
1286,jenkinsci,inedo-proget-plugin,2932.0
377,apache,olingo-odata4,2928.5
1907,openstack,os-vif,2910.0
1217,jenkinsci,credentials-plugin,2909.6666666666665
2351,twisted,twisted,2906.2
118,LinOTP,LinOTP,2906.0
1912,openstack,swift,2903.0
755,eclipse,lemminx,2896.0
2303,theupdateframework,tuf,2894.0
1555,ktorio,ktor,2858.3333333333335
1588,lestrrat-go,jwx,2856.3333333333335
1238,jenkinsci,ecutest-plugin,2847.0
1763,mysql,mysql-connector-python,2840.0
1088,indutny,node-ip,2840.0
1389,jenkinsci,snowsoftware-commander-plugin,2827.0
720,dojo,dojo,2824.0
452,auth0,angular-jwt,2820.0
289,anchore,stereoscope,2818.0
998,gurgunday,ghtml,2810.0
578,clastix,capsule,2808.5
2398,vitessio,vitess,2808.0
75,Gerapy,Gerapy,2802.5
2176,simonhaenisch,md-to-pdf,2801.0
851,fastly,js-compute-runtime,2794.5
2207,snyk,snyk-gradle-plugin,2781.0
288,amir20,dozzle,2780.0
662,dablelv,go-huge-util,2779.0
2160,sequelize,sequelize,2774.0
691,devtron-labs,devtron,2771.0
2289,tabatkins,bikeshed,2764.0
302,ansible,ansible-runner,2762.0
2487,yt-dlp,yt-dlp,2751.285714285714
1302,jenkinsci,kubernetes-credentials-provider-plugin,2745.0
2190,sjqzhang,go-fastdfs,2744.0
56,ESAPI,esapi-java-legacy,2739.6666666666665
2067,reactor,reactor-netty,2737.0
48,DSpace,DSpace,2724.6666666666665
1905,openstack,nova,2724.1388888888887
1601,lionello,secp256k1-js,2722.0
1393,jenkinsci,splunk-devops-plugin,2719.0
1107,ipld,go-ipld-prime,2713.0
2266,stimulusreflex,stimulus_reflex,2692.0
2413,wanasit,chrono,2688.0
257,adamghill,django-unicorn,2685.0
840,fastify,fastify-csrf,2684.0
1541,knex,knex,2684.0
643,creharmony,node-etsy-client,2666.0
1427,jenkinsci,workflow-support-plugin,2664.0
1057,html5lib,html5lib-python,2656.0
790,encode,starlette,2653.6666666666665
1771,nasa,openmct,2653.0
494,bentoml,bentoml,2638.0
2023,pyca,pyopenssl,2637.5
945,goharbor,harbor,2637.0
2167,sidorares,node-mysql2,2637.0
828,facebook,fbthrift,2632.5
45,DIPlib,diplib,2631.0
2463,xuxueli,xxl-job,2627.3333333333335
2401,volcano-sh,volcano,2626.0
1227,jenkinsci,dependency-track-plugin,2623.0
228,TypedProject,tsed,2623.0
1708,mitmproxy,mitmproxy,2613.0
1181,jenkinsci,beaker-builder-plugin,2612.0
1975,plone,Products.CMFPlone,2610.2
237,XKCP,XKCP,2595.0
1230,jenkinsci,deployhub-plugin,2592.0
1572,lambdaisland,uri,2573.0
1544,koajs,cors,2568.0
588,cloudflare,circl,2563.0
265,agronholm,cbor2,2557.5
2063,rancher,apiserver,2555.0
1412,jenkinsci,urltrigger-plugin,2553.5
1169,jenkinsci,aws-codepipeline-plugin,2551.0
163,OpenTSDB,opentsdb,2545.0
2482,yeikos,js.merge,2543.0
1307,jenkinsci,lockable-resources-plugin,2541.5
1233,jenkinsci,docker-commons-plugin,2540.5
1332,jenkinsci,nomad-plugin,2536.6666666666665
294,angular,angular,2535.0
1319,jenkinsci,maven-artifact-choicelistprovider-plugin,2533.6666666666665
1401,jenkinsci,synopsys-detect-plugin,2529.0
1733,mongodb,mongo-go-driver,2518.0
1279,jenkinsci,hidden-parameter-plugin,2514.0
807,eugeneware,jpeg-js,2509.0
1933,parse-community,parse-server,2508.0833333333335
126,MechanicalSoup,MechanicalSoup,2502.0
1561,kubernetes-csi,csi-proxy,2499.0
2320,tngan,samlify,2496.0
409,apache,tika,2495.25
765,eclipse-ee4j,parsson,2487.0
244,aFarkas,lazysizes,2483.0
692,dexidp,dex,2479.3333333333335
329,apache,commons-compress,2476.4285714285716
1920,pac4j,pac4j,2468.5
1858,onnx,onnx,2464.4
88,IBAX-io,go-ibax,2446.0
1796,nhn,tui.grid,2446.0
586,cloudevents,sdk-go,2446.0
837,fastify,csrf-protection,2444.0
1271,jenkinsci,global-post-script-plugin,2439.0
1492,jstachio,jstachio,2437.0
2116,rundeck,rundeck,2435.0
306,answerdev,answer,2434.181818181818
1507,jupyterhub,jupyterhub,2431.0
910,getsentry,sentry,2430.375
550,cdent,paste,2428.0
1921,pagehelper,Mybatis-PageHelper,2424.0
2409,vyperlang,vyper,2420.777777777778
1660,matrix-org,matrix-appservice-irc,2419.3333333333335
2328,tomoh1r,ansible-vault,2413.0
1535,kitabisa,teler-waf,2404.0
1619,louislam,uptime-kuma,2400.25
1357,jenkinsci,qmetry-for-jira-test-management-plugin,2398.0
1510,jupyterhub,oauthenticator,2396.6
679,deepset-ai,haystack,2387.5
1483,jruby,jruby,2381.0
1093,inveniosoftware,invenio-communities,2379.0
2064,rancher,norman,2377.0
1793,nextauthjs,next-auth,2377.0
177,Pylons,waitress,2376.2
1176,jenkinsci,azure-keyvault-plugin,2372.0
1720,moappi,json2html,2366.0
917,gin-gonic,gin,2359.5
1811,node-saml,node-saml,2358.5
373,apache,myfaces,2358.0
919,gitblit,gitblit,2357.0
1314,jenkinsci,markdown-formatter-plugin,2355.0
1410,jenkinsci,token-macro-plugin,2354.0
2367,undertow-io,undertow,2347.2
1851,okta,okta-oidc-middleware,2345.0
508,bonitasoft,bonita-connector-webservice,2344.0
2254,ssshooter,mind-elixir-core,2335.0
379,apache,openmeetings,2329.5
708,django,django,2326.8571428571427
2166,siderolabs,talos,2317.0
733,dromara,hutool,2314.5
843,fastify,fastify-oauth2,2311.0
1998,projectcapsule,capsule,2311.0
819,expressjs,body-parser,2309.0
1577,laurent22,joplin,2307.75
569,christian-bromann,rgb2hex,2307.0
1839,nuxt,nuxt,2304.0
1911,openstack,swauth,2304.0
545,carltongibson,django-filter,2297.0
1347,jenkinsci,pipeline-model-definition-plugin,2293.0
1679,megaease,easeprobe,2285.0
1579,laverdet,isolated-vm,2283.0
701,digitalbazaar,zcap,2279.5
1915,orientechnologies,orientdb,2274.0
2480,yarnpkg,yarn,2270.0
1263,jenkinsci,github-branch-source-plugin,2268.0
670,davewasmer,devcert,2266.0
1505,jupyterhub,firstuseauthenticator,2264.0
664,danocmx,node-tf2-item-format,2262.0
341,apache,druid,2257.0
1027,hashicorp,terraform-provider-aws,2255.0
1397,jenkinsci,structs-plugin,2255.0
585,clojure,clojure,2255.0
710,django-cms,django-filer,2242.0
1663,matrix-org,sydent,2241.909090909091
1622,ls1intum,Ares,2238.0
1560,kubernetes,kubernetes,2237.4615384615386
2,3breadt,dd-plist,2236.0
2101,ronf,asyncssh,2231.0
1528,keystonejs,keystone,2229.5
1589,libp2p,go-libp2p,2229.0
1165,jenkinsci,audit-trail-plugin,2226.3333333333335
